# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 24 14:02:02 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_dist,sy_vmag
K2-245 b,K2-245,b,1,1,1,11.89307000,0.095900,4.340,,,923,5793.00,1.25,0.83,,185.1815630,-1.5909138,456.0640000,12.7550000
K2-246 b,K2-246,b,1,1,1,5.76918000,0.060200,3.490,,,977,5610.00,0.94,0.87,,181.6296115,-1.1606000,703.6160000,14.7920000
K2-247 b,K2-247,b,1,1,2,2.25021000,0.030400,2.120,,,979,4667.00,0.69,0.74,,188.8935189,-10.0692793,258.1130000,14.8570000
K2-247 c,K2-247,c,1,1,2,6.49424000,0.061500,2.190,,,688,4667.00,0.69,0.74,,188.8935189,-10.0692793,258.1130000,14.8570000
K2-248 b,K2-248,b,1,1,1,7.17256000,0.069900,2.570,,,886,5528.00,0.92,0.88,,182.8173343,-9.4141696,406.2540000,13.4970000
K2-249 b,K2-249,b,1,1,1,12.40900000,0.115100,2.790,,,1061,6504.00,1.57,1.32,,183.3667344,-8.9952309,521.7160000,12.6460000
K2-25 b,K2-25,b,1,1,1,3.48456408,0.028700,3.440,24.50000,0.428000,494,3207.00,0.29,0.26,-2.088,63.2739346,15.2477027,44.9565000,16.2100000
K2-250 b,K2-250,b,1,1,1,4.01457000,0.045900,2.440,,,958,5172.00,0.81,0.80,,185.0315429,-8.9757427,414.7080000,14.3140000
K2-251 b,K2-251,b,1,1,1,9.30075000,0.069400,2.350,,,437,3717.00,0.49,0.52,,190.6892403,-8.5359826,147.0300000,15.6600000
K2-252 b,K2-252,b,1,1,1,13.81513000,0.104100,1.740,,,639,5152.00,0.82,0.79,,182.3663818,-8.3096141,228.8390000,12.9300000
K2-253 b,K2-253,b,1,1,1,4.00167000,0.050600,12.670,,,1238,6027.00,1.10,1.08,,186.0853062,-6.3789537,876.5650000,15.0020000
K2-254 b,K2-254,b,1,1,2,4.09639000,0.044800,1.630,,,791,4629.00,0.67,0.71,,185.5507926,-4.7172908,227.7750000,14.2380000
K2-254 c,K2-254,c,1,1,2,12.11839000,0.092300,2.190,,,551,4629.00,0.67,0.71,,185.5507926,-4.7172908,227.7750000,14.2380000
K2-255 b,K2-255,b,1,1,1,1.96417000,0.027400,2.900,,,1034,4676.00,0.69,0.71,,189.9128532,-3.3705631,191.6080000,13.6620000
K2-257 b,K2-257,b,1,1,1,1.60588000,0.021600,0.830,,,789,3725.00,0.50,0.52,,188.2782840,-1.9532879,64.0065000,13.7160000
K2-258 b,K2-258,b,1,1,1,19.09210000,0.149000,3.000,,,831,6351.00,1.31,1.21,,187.6314027,-1.1609171,661.8730000,13.3610000
K2-259 b,K2-259,b,1,1,1,15.48043000,0.127100,2.320,,,795,6059.00,1.13,1.14,,186.8026947,1.5668631,416.4570000,12.5110000
K2-26 b,K2-26,b,1,1,1,14.56650000,0.096200,2.670,,,430,3785.00,0.52,0.56,-1.310,94.2064312,24.5958335,99.0504000,14.5280000
K2-260 b,K2-260,b,1,1,1,2.62666570,0.040400,17.396,451.31860,0.000000,1957,6367.00,1.69,1.39,,76.8673317,16.8676948,663.8340000,12.6240000
K2-261 b,K2-261,b,1,1,1,11.63347800,0.103400,9.528,59.75174,0.286000,1046,5445.00,1.64,1.09,0.328,163.0323119,0.4931670,213.2830000,10.6120000
K2-263 b,K2-263,b,1,1,1,50.81894700,0.257300,2.410,14.90000,0.150000,470,5368.00,0.85,0.88,,129.6821253,15.6806039,162.4810000,11.5680000
K2-264 b,K2-264,b,1,1,2,5.84000200,0.050230,2.231,,,496,3660.00,0.47,0.50,,131.3583524,19.6984010,185.6050000,16.7010000
K2-264 c,K2-264,c,1,1,2,19.66030200,0.112830,2.668,,,331,3660.00,0.47,0.50,,131.3583524,19.6984010,185.6050000,16.7010000
K2-265 b,K2-265,b,1,2,1,2.36917200,0.033760,1.710,6.54000,0.084000,,5477.00,0.98,0.92,,342.0316493,-14.4947789,138.6710000,11.1870000
K2-266 b,K2-266,b,1,2,4,0.65852400,0.013060,3.300,11.26782,,1515,4285.00,0.70,0.69,-0.823,157.9356855,0.9372782,77.5586000,11.6250000
K2-266 c,K2-266,c,1,2,4,7.81400000,0.067900,0.705,0.29013,0.042000,664,4285.00,0.70,0.69,-0.823,157.9356855,0.9372782,77.5586000,11.6250000
K2-266 d,K2-266,d,1,2,4,14.69700000,0.103500,2.930,8.90000,0.047000,538,4285.00,0.70,0.69,-0.823,157.9356855,0.9372782,77.5586000,11.6250000
K2-266 e,K2-266,e,1,2,4,19.48200000,0.124900,2.730,14.30000,0.043000,490,4285.00,0.70,0.69,-0.823,157.9356855,0.9372782,77.5586000,11.6250000
K2-268 b,K2-268,b,1,1,5,2.15167600,,1.500,,,1136,5106.00,0.78,0.84,,133.7094899,11.8482712,327.7830000,13.8480000
K2-268 c,K2-268,c,1,1,5,9.32752700,,2.690,,,696,5106.00,0.78,0.84,,133.7094899,11.8482712,327.7830000,13.8480000
K2-268 d,K2-268,d,1,1,5,4.52859800,,1.490,,,888,5106.00,0.78,0.84,,133.7094899,11.8482712,327.7830000,13.8480000
K2-268 e,K2-268,e,1,1,5,6.13124300,,1.330,,,801,5106.00,0.78,0.84,,133.7094899,11.8482712,327.7830000,13.8480000
K2-268 f,K2-268,f,1,1,5,26.27057000,,2.230,,,492,5106.00,0.78,0.84,,133.7094899,11.8482712,327.7830000,13.8480000
K2-269 b,K2-269,b,1,1,1,4.14496500,0.053100,1.570,,,1429,6209.00,1.45,1.16,,130.1551381,13.0146799,360.7600000,11.7840000
K2-27 b,K2-27,b,1,3,1,6.77131500,0.067020,4.480,30.90000,0.251000,902,5248.00,0.89,0.87,,171.5151874,1.2306237,249.6450000,12.6890000
K2-270 b,K2-270,b,1,1,2,1.54306900,0.024700,1.380,,,1203,4877.00,0.77,0.85,,131.2665588,13.5497322,280.5180000,13.8470000
K2-270 c,K2-270,c,1,1,2,4.40002800,0.049700,2.950,,,848,4877.00,0.77,0.85,,131.2665588,13.5497322,280.5180000,13.8470000
K2-271 b,K2-271,b,1,1,1,8.56242100,0.077000,7.280,,,893,5644.00,0.99,0.83,,125.2239144,16.0907958,564.4540000,13.8450000
K2-272 b,K2-272,b,1,1,1,14.45367560,0.100700,3.130,,,747,5397.00,0.83,0.86,,132.6211743,17.5423852,423.0650000,13.8720000
K2-273 b,K2-273,b,1,1,1,11.71956630,0.072900,3.050,,,849,5161.00,0.85,0.89,,129.7768928,19.0100046,308.1050000,13.2460000
K2-274 b,K2-274,b,1,1,1,14.13303140,0.096400,2.080,,,655,5044.00,0.70,0.79,,129.2823699,20.3992512,228.3270000,13.1810000
K2-275 b,K2-275,b,1,1,2,3.28096260,0.027700,2.340,,,1166,4841.00,0.69,0.77,,132.1698795,20.4550162,123.4380000,11.9740000
K2-275 c,K2-275,c,1,1,2,8.43883850,0.088100,2.210,,,653,4841.00,0.69,0.77,,132.1698795,20.4550162,123.4380000,11.9740000
K2-276 b,K2-276,b,1,1,1,18.71826900,0.129100,3.770,,,583,5139.00,0.85,0.82,,125.9528309,22.6339399,488.1520000,14.6540000
K2-277 b,K2-277,b,1,1,1,6.32676300,0.067500,2.070,,,958,5741.00,0.97,1.02,,202.0161895,-15.9379749,113.1230000,10.3640000
K2-278 b,K2-278,b,1,1,1,3.33496600,0.048800,2.980,,,1711,6747.00,1.61,1.40,,203.3018653,-14.5041057,786.4390000,13.4460000
K2-279 b,K2-279,b,1,1,1,7.12260500,0.067000,1.210,,,879,5558.00,0.86,0.79,,204.7792935,-6.0417592,182.9830000,11.4910000
K2-28 b,K2-28,b,1,1,1,2.26045500,0.021400,2.320,,0.000000,568,3214.00,0.29,0.26,,335.6233145,-7.9563525,62.9969000,16.5260000
K2-280 b,K2-280,b,1,1,1,19.89526000,0.146100,7.500,37.10000,0.350000,787,5500.00,1.28,1.03,,291.5953596,-22.2477071,391.5370000,12.5240000
K2-281 b,K2-281,b,1,1,1,8.68772100,0.077300,8.180,,,665,4812.00,0.76,0.82,,16.2274724,7.2692169,458.1390000,15.0480000
K2-282 b,K2-282,b,1,1,2,4.16978300,,2.500,,,,5499.00,1.00,,,13.4321524,7.9952914,496.2890000,14.2100000
K2-283 b,K2-283,b,1,1,1,1.92103600,0.029100,3.520,,,1186,5060.00,0.82,0.89,,13.1943679,9.6929181,402.9150000,14.3640000
K2-284 b,K2-284,b,1,1,1,4.79506900,0.047710,2.780,,0.078000,653,4140.00,0.61,0.63,-1.013,79.1407971,20.2549034,107.2720000,13.2650000
K2-285 b,K2-285,b,1,1,4,3.47174500,0.038170,2.590,9.68000,0.000000,1089,4975.00,0.79,0.83,,349.3843458,1.3001522,154.9610000,12.0750000
K2-285 c,K2-285,c,1,1,4,7.13804800,0.082400,3.530,15.68000,0.000000,741,4975.00,0.79,0.83,,349.3843458,1.3001522,154.9610000,12.0750000
K2-285 d,K2-285,d,1,1,4,10.45582000,0.117800,2.480,6.50000,0.000000,620,4975.00,0.79,0.83,,349.3843458,1.3001522,154.9610000,12.0750000
K2-285 e,K2-285,e,1,1,4,14.76289000,0.180410,1.950,10.70000,0.000000,501,4975.00,0.79,0.83,,349.3843458,1.3001522,154.9610000,12.0750000
K2-286 b,K2-286,b,1,1,1,27.35900000,0.176800,2.100,,,347,3926.00,0.62,0.64,-1.046,233.3698192,-16.7737113,76.1486000,12.8810000
K2-287 b,K2-287,b,1,1,1,14.89329100,0.120600,9.494,100.11645,0.478000,804,5695.00,1.07,1.06,,233.0743401,-22.3583447,158.3350000,11.4100000
K2-288 B b,K2-288 B,b,1,2,1,31.39346300,0.164000,1.900,,,226,3341.00,0.32,0.33,-1.930,55.4442857,18.2684913,65.6138000,
K2-289 b,K2-289,b,1,1,1,13.15696900,0.107000,9.100,,,753,5529.00,1.02,0.95,,246.6429443,-15.7925384,274.3000000,14.8100000
K2-29 b,K2-29,b,1,2,1,3.25883210,0.042170,13.339,232.01590,0.066000,1171,5358.00,0.86,0.94,,62.6704220,24.4016558,178.4750000,12.5320000
K2-290 b,K2-290,b,1,3,2,9.21165000,0.092300,3.060,10.90000,0.000000,1230,6302.00,1.51,1.19,,234.8578846,-20.1988975,272.9090000,11.1140000
K2-290 c,K2-290,c,1,3,2,48.36685000,0.305000,11.276,246.00042,0.000000,676,6302.00,1.51,1.19,,234.8578846,-20.1988975,272.9090000,11.1140000
K2-291 b,K2-291,b,1,1,1,2.22517700,0.032610,1.589,6.49000,0.000000,,5520.00,0.90,0.93,-0.166,76.4459400,21.5481990,90.0562000,10.0140000
K2-292 b,K2-292,b,1,1,1,16.98410000,0.130000,2.630,24.50000,0.040000,795,5725.00,1.09,1.00,,205.3758786,-9.9460704,114.2930000,9.8850000
K2-293 b,K2-293,b,1,1,1,13.12250000,,2.450,,,750,5532.00,0.95,0.96,,351.6064952,-6.0279068,392.2510000,13.4400000
K2-294 b,K2-294,b,1,1,1,2.50387000,,1.660,,,1425,5612.00,1.20,0.99,,352.0516724,-7.6037856,373.0780000,12.6490000
K2-295 b,K2-295,b,1,1,1,4.02486700,0.045100,10.054,106.47305,0.000000,852,4444.00,0.70,0.74,,19.6101417,6.8167277,232.8010000,13.8941000
K2-3 b,K2-3,b,1,1,3,10.05465350,0.074700,2.078,5.11000,0.107000,501,3844.00,0.55,0.55,-1.231,172.3353708,-1.4551364,44.0727000,12.1680000
K2-3 c,K2-3,c,1,1,3,24.64672900,0.135700,1.582,2.68000,0.048000,372,3844.00,0.55,0.55,-1.231,172.3353708,-1.4551364,44.0727000,12.1680000
K2-3 d,K2-3,d,1,1,3,44.55603000,0.201400,1.458,2.20000,0.091000,305,3844.00,0.55,0.55,-1.231,172.3353708,-1.4551364,44.0727000,12.1680000
K2-30 b,K2-30,b,1,1,1,4.09850300,0.048390,11.646,184.02357,0.000000,1092,5425.00,0.84,0.90,-0.256,52.3420548,22.2993491,333.0420000,13.5470000
K2-308 b,K2-308,b,1,1,1,3.38628000,,9.916,,,,6100.00,1.24,1.09,,78.3391194,16.4141986,1314.5300000,15.0720000
K2-31 b,K2-31,b,1,2,1,1.25785000,0.022000,11.882,563.83042,0.000000,,5280.00,0.78,0.91,,245.4405531,-23.5482730,110.5270000,10.8020000
K2-312 c,HD 80653,c,1,1,2,921.20000000,1.961000,,1719.45168,0.853000,,5959.00,1.22,1.18,,140.3390845,14.3678691,109.8600000,9.4520000
K2-315 b,K2-315,b,1,1,1,3.14431890,,0.950,,,460,3300.00,0.20,0.17,-2.387,228.0210932,-20.1081634,56.9686000,17.6700000
K2-316 b,K2-316,b,1,1,2,1.13300000,0.014700,1.330,,,841,3436.00,0.38,0.41,,233.6247336,-23.2594663,112.4860000,17.1400000
K2-316 c,K2-316,c,1,1,2,5.26000000,0.058200,1.830,,,423,3436.00,0.38,0.41,,233.6247336,-23.2594663,112.4860000,17.1400000
K2-317 b,K2-317,b,1,1,1,6.22000000,0.054200,2.930,,,432,3387.00,0.38,0.40,,228.6188638,-21.0227209,176.2910000,17.7400000
K2-318 b,K2-318,b,1,1,1,7.01000000,0.091100,1.660,,,456,3851.00,0.55,0.56,,232.4461375,-17.5574630,147.8660000,15.8000000
K2-319 b,K2-319,b,1,1,1,26.68000000,0.151600,2.790,,,641,5440.00,0.90,0.95,,166.8010058,3.0399357,209.0710000,12.2130000
K2-32 b,K2-32,b,1,2,4,8.99200000,0.079500,5.299,15.00000,0.030000,837,5271.00,0.86,0.83,,252.4260080,-19.5430504,157.6820000,12.3040000
K2-32 c,K2-32,c,1,2,4,20.66093000,0.138430,3.134,8.10000,0.049000,634,5271.00,0.86,0.83,,252.4260080,-19.5430504,157.6820000,12.3040000
K2-32 d,K2-32,d,1,2,4,31.71701000,0.184220,3.484,6.70000,0.050000,550,5271.00,0.86,0.83,,252.4260080,-19.5430504,157.6820000,12.3040000
K2-32 e,K2-32,e,1,2,4,4.34934000,0.048990,1.212,2.10000,0.043000,1066,5271.00,0.86,0.83,,252.4260080,-19.5430504,157.6820000,12.3040000
K2-320 b,K2-320,b,1,1,1,1.99500000,0.014200,2.620,,,698,3157.00,0.30,0.12,,163.2519122,5.3064776,108.7400000,17.8100000
K2-321 b,K2-321,b,1,1,1,2.29800000,0.041000,1.950,,,701,3855.00,0.58,0.60,,156.4054989,2.5138829,77.6888000,13.6770000
K2-322 b,K2-322,b,1,1,1,8.20500000,0.059400,1.920,,,635,4141.00,0.60,0.63,,156.6226981,4.7640203,123.4150000,13.9630000
K2-323 b,K2-323,b,1,1,1,24.93000000,0.127500,2.100,,,318,3710.00,0.55,0.48,,159.4209874,6.2858689,118.3180000,14.9350000
K2-324 b,K2-324,b,1,1,1,3.26200000,0.033100,2.430,,,707,3752.00,0.51,0.52,,157.6222171,6.8636732,136.6670000,15.2230000
K2-325 b,K2-325,b,1,1,1,6.93000000,0.041900,2.200,,,423,3287.00,0.30,0.27,,353.9169507,-7.6867213,111.6380000,17.7700000
K2-326 b,K2-326,b,1,1,1,1.25600000,0.019800,2.280,,,1114,3924.00,0.69,0.51,,351.6122620,1.3375909,282.3080000,15.9820000
K2-329 b,K2-329,b,1,1,1,12.45512250,0.101600,8.676,82.63580,0.069700,650,5282.00,0.82,0.90,-0.325,351.1353785,-5.1641451,233.2370000,12.6970000
K2-33 b,K2-33,b,1,1,1,5.42486500,,5.040,1175.97100,0.000000,,3540.00,1.05,0.56,-0.824,242.5613635,-19.3193831,139.2680000,15.8380000
K2-330 b,K2-330,b,1,1,1,13.77479800,,2.770,,,969,6232.00,1.50,1.23,,126.8968265,11.6674131,160.1250000,9.6080000
K2-331 b,K2-331,b,1,1,2,9.39897700,,1.790,,,909,5994.00,1.06,1.10,,132.7376431,13.1702690,211.4300000,11.3050000
K2-331 c,K2-331,c,1,1,2,22.99659100,,2.720,,,673,5994.00,1.06,1.10,,132.7376431,13.1702690,211.4300000,11.3050000
K2-332 b,K2-332,b,1,1,1,17.70632000,,2.200,,,266,3315.00,0.28,0.27,,135.8832666,14.2504994,123.2020000,
K2-333 b,K2-333,b,1,1,1,14.75928700,,6.180,,,826,5880.00,1.22,1.06,,136.7892752,15.2056765,343.9900000,12.0730000
K2-334 b,K2-334,b,1,1,1,5.11398100,,5.650,,,1380,6502.00,1.49,1.36,,136.4894259,16.3255146,371.8230000,11.8420000
K2-335 b,K2-335,b,1,1,1,12.28321100,,2.210,,,949,6222.00,1.33,1.23,,129.3896679,16.5220648,557.9930000,12.5560000
K2-336 b,K2-336,b,1,1,1,21.19473300,,1.220,,,569,5424.00,0.80,0.86,,133.8382032,16.7940663,239.2890000,12.8030000
K2-337 b,K2-337,b,1,1,1,16.27356300,,2.620,,,850,5869.00,1.32,0.94,,127.7611370,16.9004702,421.6360000,12.3850000
K2-338 b,K2-338,b,1,1,1,3.85061400,,1.030,,,783,4558.00,0.63,0.66,,124.3609294,17.0241557,156.9510000,13.3220000
K2-339 b,K2-339,b,1,1,1,19.50742800,,1.920,,,508,4857.00,0.72,0.74,,130.0825420,18.6929046,360.3600000,14.4870000
K2-34 b,K2-34,b,1,1,1,2.99563480,0.044200,13.750,,,1687,6168.00,1.42,1.16,,127.5787231,22.2359194,348.6460000,11.4470000
K2-340 b,K2-340,b,1,1,1,29.74045100,,3.360,,,606,5532.00,1.13,0.93,,127.9373409,19.0745863,738.1360000,14.4280000
K2-341 b,K2-341,b,1,1,1,36.55255100,,3.210,,,598,5817.00,1.16,0.98,,130.4971951,19.9166357,421.4080000,12.7250000
K2-342 b,K2-342,b,1,1,1,11.56105200,,2.030,,,861,5920.00,1.09,1.01,,133.1218996,21.2386816,208.3570000,11.3380000
K2-343 b,K2-343,b,1,1,2,2.78717400,,1.650,,,653,3804.00,0.46,0.49,,134.2021746,21.5026882,166.1690000,16.0100000
K2-343 c,K2-343,c,1,1,2,7.67697200,,2.020,,,465,3804.00,0.46,0.49,,134.2021746,21.5026882,166.1690000,16.0100000
K2-344 b,K2-344,b,1,1,1,3.35585000,,1.590,,,722,4374.00,0.49,0.51,,136.3614923,21.6685886,75.1691000,13.4230000
K2-345 b,K2-345,b,1,1,1,10.36743700,,2.110,,,437,3779.00,0.52,0.56,,132.7075876,21.7890367,162.4080000,15.7200000
K2-346 b,K2-346,b,1,1,1,26.20144600,,2.260,,,450,4801.00,0.70,0.71,,125.9864854,22.6632260,105.5800000,11.9030000
K2-347 b,K2-347,b,1,1,1,7.18725700,,2.410,,,640,4599.00,0.63,0.66,,126.3726821,23.2974061,320.3360000,15.1500000
K2-348 b,K2-348,b,1,1,2,4.68841800,,3.260,,,908,5077.00,0.85,0.83,,130.8783479,24.4229559,201.8560000,12.5720000
K2-348 c,K2-348,c,1,1,2,12.55017100,,2.670,,,655,5077.00,0.85,0.83,,130.8783479,24.4229559,201.8560000,12.5720000
K2-349 b,K2-349,b,1,1,1,9.03217800,,1.380,,,518,4385.00,0.49,0.54,,199.0996546,-14.4447454,453.5670000,14.5850000
K2-35 b,K2-35,b,1,1,2,2.39996400,0.031000,1.320,,0.130000,,4402.71,0.62,0.70,,170.1031027,1.2858679,252.5960000,14.1660000
K2-35 c,K2-35,c,1,1,2,5.60835200,0.055000,1.930,,0.120000,,4402.71,0.62,0.70,,170.1031027,1.2858679,252.5960000,14.1660000
K2-350 b,K2-350,b,1,1,2,4.16387300,,1.540,,,1158,5789.00,1.04,0.98,,204.0355092,-14.0092516,489.3680000,13.4490000
K2-350 c,K2-350,c,1,1,2,19.99194400,,2.740,,,687,5789.00,1.04,0.98,,204.0355092,-14.0092516,489.3680000,13.4490000
K2-351 b,K2-351,b,1,1,1,7.80616400,,2.540,,,934,5769.00,1.05,1.02,,206.6522408,-11.8049588,694.7340000,14.1950000
K2-352 b,K2-352,b,1,1,3,3.66591200,,1.370,,,1160,5791.00,0.95,0.98,,140.4451478,18.4696280,176.0510000,11.1250000
K2-352 c,K2-352,c,1,1,3,8.23488500,,1.920,,,885,5791.00,0.95,0.98,,140.4451478,18.4696280,176.0510000,11.1250000
K2-352 d,K2-352,d,1,1,3,14.87138700,,2.230,,,727,5791.00,0.95,0.98,,140.4451478,18.4696280,176.0510000,11.1250000
K2-353 b,K2-353,b,1,1,1,15.46680500,,5.550,,,735,5698.00,0.99,0.87,,201.6168564,-2.2819018,268.5150000,12.3370000
K2-354 b,K2-354,b,1,1,1,3.79330600,,1.560,,,543,3669.00,0.41,0.43,,129.1299193,10.1472175,91.7220000,15.2960000
K2-355 b,K2-355,b,1,1,1,5.73856470,0.063200,2.250,,,1066,5790.00,0.92,0.96,,124.6426189,13.5027816,500.4970000,13.7070000
K2-356 b,K2-356,b,1,1,1,21.02673660,0.159900,2.290,,,624,5568.00,0.86,0.90,,128.3219134,13.6613758,355.5400000,13.2680000
K2-357 b,K2-357,b,1,1,1,16.34886370,0.145000,3.720,,,735,5794.00,1.00,0.98,,131.9386628,16.3289144,517.6870000,13.7480000
K2-358 b,K2-358,b,1,1,1,11.25102850,0.086300,2.680,,,888,5650.00,0.91,0.93,,133.8081054,18.9497263,480.3070000,13.6990000
K2-36 b,K2-36,b,1,1,2,1.42261400,0.022880,1.430,4.30000,0.093000,1328,4916.00,0.72,0.79,,169.4490102,3.8665038,109.7490000,11.7260000
K2-36 c,K2-36,c,1,1,2,5.34088800,0.055280,3.200,7.90000,0.089000,854,4916.00,0.72,0.79,,169.4490102,3.8665038,109.7490000,11.7260000
K2-365 b,K2-365,b,1,1,1,23.44817200,,2.906,,,,5561.00,1.05,0.82,,238.8197061,-21.0269691,187.2220000,11.3720000
K2-366 b,K2-366,b,1,1,1,15.93703900,,2.359,,,,5601.00,0.94,0.82,,243.6800912,-19.3468837,185.9470000,12.6360000
K2-367 b,K2-367,b,1,1,1,20.64509900,,2.413,,,,4348.00,0.62,0.76,,337.8588454,-13.2644554,176.9650000,13.7940000
K2-368 b,K2-368,b,1,1,3,5.02559800,,1.332,,,,4663.00,0.66,0.75,,332.6357627,-11.1661157,206.6080000,13.5810000
K2-368 c,K2-368,c,1,1,3,9.66018600,,1.361,,,,4663.00,0.66,0.75,,332.6357627,-11.1661157,206.6080000,13.5810000
K2-368 d,K2-368,d,1,1,3,20.20108500,,1.948,,,,4663.00,0.66,0.75,,332.6357627,-11.1661157,206.6080000,13.5810000
K2-369 b,K2-369,b,1,1,1,5.76161200,,1.313,,,,5682.00,0.88,0.73,,329.7262534,-10.8750666,185.5500000,11.7890000
K2-37 b,K2-37,b,1,1,3,4.44117000,0.051100,1.610,,,974,5413.00,0.85,0.90,,243.4509662,-24.7870527,179.9430000,12.5730000
K2-37 c,K2-37,c,1,1,3,6.42904000,0.065400,2.750,,,861,5413.00,0.85,0.90,,243.4509662,-24.7870527,179.9430000,12.5730000
K2-37 d,K2-37,d,1,1,3,14.09189000,0.110300,2.730,,,663,5413.00,0.85,0.90,,243.4509662,-24.7870527,179.9430000,12.5730000
K2-370 b,K2-370,b,1,1,1,2.14084000,,3.207,,,,5377.00,0.97,0.98,,67.8205302,19.8316901,144.2020000,11.1090000
K2-371 b,K2-371,b,1,1,1,3.11490500,,13.024,,,,4925.00,0.74,0.96,,128.0670932,11.6307099,442.8130000,14.4920000
K2-372 b,K2-372,b,1,1,1,9.84407700,,2.945,,,,5479.00,0.92,0.85,,130.7988719,13.0094226,463.8800000,13.5890000
K2-373 b,K2-373,b,1,1,1,11.02066000,,2.061,,,,6138.00,1.49,1.16,,123.1361518,13.6884986,229.5670000,10.4700000
K2-374 b,K2-374,b,1,1,2,4.52195300,,1.593,,,,5789.00,0.91,0.73,,137.3794986,16.3558324,359.4390000,12.7830000
K2-374 c,K2-374,c,1,1,2,16.43445000,,2.213,,,,5789.00,0.91,0.73,,137.3794986,16.3558324,359.4390000,12.7830000
K2-375 b,K2-375,b,1,1,1,14.45389500,,2.243,,,,5822.00,1.54,1.12,,130.5013137,20.3593003,696.1000000,13.1640000
K2-376 b,K2-376,b,1,1,1,5.77647500,,1.736,,,,5937.00,1.15,0.91,,132.7193327,25.0380824,161.6100000,10.4150000
K2-377 b,K2-377,b,1,1,1,12.83223500,,1.693,,,,4200.00,0.69,0.82,,202.8978870,-12.0951142,195.1490000,14.1070000
K2-378 b,K2-378,b,1,1,1,2.06043800,,2.880,,,,4823.00,0.73,0.92,,205.1596569,-11.1172332,687.9730000,16.0290000
K2-379 b,K2-379,b,1,1,1,8.77724700,,2.181,,,,4603.00,0.75,0.86,,283.0317641,-27.1807287,182.2070000,13.2650000
K2-38 b,K2-38,b,1,1,2,4.01593000,0.050300,1.655,7.70000,0.110000,1310,5705.00,1.14,1.05,,240.0333095,-23.1894196,192.6900000,11.3440000
K2-38 c,K2-38,c,1,1,2,10.56103000,0.095900,2.490,7.40000,0.086000,949,5705.00,1.14,1.05,,240.0333095,-23.1894196,192.6900000,11.3440000
K2-380 b,K2-380,b,1,1,1,9.40131200,,2.729,,,,5911.00,1.32,0.99,,283.4346389,-26.5387308,249.3030000,11.6880000
K2-381 b,K2-381,b,1,1,3,7.93893340,,1.075,,,,4473.00,0.68,0.75,,288.0267612,-21.0075789,145.7010000,12.8830000
K2-381 c,K2-381,c,1,1,3,16.03465600,,2.000,,,,4473.00,0.68,0.75,,288.0267612,-21.0075789,145.7010000,12.8830000
K2-381 d,K2-381,d,1,1,3,26.80302300,,1.689,,,,4473.00,0.68,0.75,,288.0267612,-21.0075789,145.7010000,12.8830000
K2-382 b,K2-382,b,1,1,1,21.70015600,,2.072,,,,5452.00,0.81,0.92,,287.4125267,-19.6269336,278.4120000,12.9770000
K2-383 b,K2-383,b,1,1,1,1.86596200,,1.564,,,,5129.00,0.80,1.06,,282.0087650,-18.3795798,203.7880000,12.6890000
K2-384 b,K2-384,b,1,1,5,2.23152700,,1.076,,,,3623.00,0.35,0.33,,20.4998403,0.7509701,82.6603000,16.1200000
K2-384 c,K2-384,c,1,1,5,4.19476600,,1.191,,,,3623.00,0.35,0.33,,20.4998403,0.7509701,82.6603000,16.1200000
K2-384 d,K2-384,d,1,1,5,6.67958200,,1.392,,,,3623.00,0.35,0.33,,20.4998403,0.7509701,82.6603000,16.1200000
K2-384 e,K2-384,e,1,1,5,9.71504300,,1.345,,,,3623.00,0.35,0.33,,20.4998403,0.7509701,82.6603000,16.1200000
K2-384 f,K2-384,f,1,1,5,13.62749000,,2.222,,,,3623.00,0.35,0.33,,20.4998403,0.7509701,82.6603000,16.1200000
K2-385 b,K2-385,b,1,1,1,2.38086700,,1.539,,,,4844.00,0.76,0.93,,12.6140752,5.8712567,420.8190000,14.6450000
